elements,p,E22,G12,E11,nu12,E11_tol,E22_tol,nu12_tol,G12_tol
80,-0.01,14999.99912538345,16385.39711561407,231000.8949799163,0.20971669300963383,0.00038743569213749184,5.830777336521547e-6,0.13509033844680488,3.572675788591225
5120,-0.01,14999.999552262067,15804.730816871412,230997.70348195347,0.21072696560400267,0.0009941735402164812,2.984919645281191e-6,0.3449798662069611,0.02993291645537902
320,-0.01,14999.999705168757,15943.21424793849,230997.5152303299,0.2107865568866225,0.0010756694363623003,1.9655416591783183e-6,0.3731532495431343,0.8982771335272457
20,0.01,14999.827213182356,17650.053650668615,231092.1983692946,0.1808144931137825,0.03989679008863467,0.001151925386794848,16.141132485354316,10.481858510376435
1280,0.01,14999.999577698421,15831.150347780167,230997.55687878895,0.2107733730160556,0.0010576394157849414,2.8153439359955256e-6,0.36692159212951614,0.1967661673084606
5,0.01,15004.628355405383,17650.053650668615,231092.1983692946,0.1808144931137825,0.03989679008863467,0.03084618489544382,16.141132485354316,10.481858510376435
20,-0.01,14999.827213182398,17650.053650668582,231092.19836929417,0.18081449311378178,0.039896790088445835,0.0011519253865159298,16.141132485354778,10.481858510376268
80,0.01,14999.999125383427,16385.39711561406,231000.89497991657,0.209716693009634,0.0003874356922508825,5.830777494167314e-6,0.13509033844672536,3.572675788591182
5,-0.01,15004.628355405373,17650.053650668582,231092.19836929417,0.18081449311378178,0.039896790088445835,0.030846184895383225,16.141132485354778,10.481858510376268
5120,0.01,14999.999552261823,15804.730816871646,230997.70348195356,0.2107269656040031,0.0009941735401786834,2.984921270245155e-6,0.3449798662071711,0.029932916456863256
1280,-0.01,14999.99957769828,15831.150347779956,230997.55687878947,0.21077337301605564,0.0010576394155581534,2.815344881870069e-6,0.3669215921295424,0.1967661673071304
320,0.01,14999.999705168839,15943.214247938493,230997.515230331,0.2107865568866229,0.001075669435896125,1.9655411134814756e-6,0.37315324954331797,0.8982771335272682
